iter	Passed	Remaining
1232	26776	81804
1233	26797	81782
1234	26822	81769
1235	26845	81752
1236	26867	81733
1237	26890	81712
1238	26913	81695
1239	26938	81683
1240	26961	81666
1241	26984	81649
1242	27008	81632
1243	27029	81609
1244	27054	81596
1245	27073	81568
1246	27095	81548
1247	27115	81520
1248	27135	81493
1249	27157	81473
1250	27179	81451
1251	27198	81422
1252	27219	81398
1253	27239	81370
1254	27262	81353
1255	27285	81333
1256	27306	81310
1257	27329	81292
1258	27349	81267
1259	27372	81249
1260	27400	81245
1261	27420	81220
1262	27441	81195
1263	27467	81185
1264	27488	81161
1265	27509	81136
1266	27529	81111
1267	27551	81090
1268	27584	81101
1269	27604	81075
1270	27625	81051
1271	27643	81018
1272	27666	80999
1273	27686	80972
1274	27705	80942
1275	27724	80914
1276	27746	80891
1277	27766	80867
1278	27788	80844
1279	27812	80831
1280	27833	80805
1281	27854	80783
1282	27875	80759
1283	27895	80732
1284	27916	80709
1285	27940	80693
1286	27962	80672
1287	27983	80646
1288	28005	80627
1289	28026	80602
1290	28050	80588
1291	28072	80565
1292	28093	80542
1293	28113	80517
1294	28135	80496
1295	28156	80470
1296	28175	80442
1297	28201	80432
1298	28221	80406
1299	28242	80383
1300	28263	80358
1301	28288	80345
1302	28308	80320
1303	28328	80294
1304	28348	80266
1305	28368	80240
1306	28391	80220
1307	28412	80198
1308	28437	80186
1309	28458	80160
1310	28480	80142
1311	28504	80124
1312	28527	80106
1313	28549	80086
1314	28572	80067
1315	28594	80048
1316	28616	80025
1317	28636	80000
1318	28658	79978
1319	28683	79965
1320	28705	79944
1321	28724	79915
1322	28744	79888
1323	28764	79863
1324	28784	79837
1325	28805	79812
1326	28826	79787
1327	28847	79766
1328	28869	79744
1329	28889	79718
1330	28910	79693
1331	28931	79671
1332	28954	79651
1333	28977	79633
1334	28998	79610
1335	29022	79594
1336	29045	79576
1337	29064	79548
1338	29090	79537
1339	29111	79513
1340	29130	79483
1341	29150	79458
1342	29174	79442
1343	29196	79421
1344	29217	79398
1345	29237	79371
1346	29260	79352
1347	29288	79349
1348	29309	79323
1349	29332	79306
1350	29354	79285
1351	29381	79278
1352	29402	79253
1353	29423	79229
1354	29445	79210
1355	29467	79187
1356	29486	79159
1357	29509	79140
1358	29531	79119
1359	29554	79102
1360	29575	79079
1361	29597	79056
1362	29615	79025
1363	29636	79001
1364	29653	78968
1365	29671	78936
1366	29690	78907
1367	29708	78874
1368	29732	78859
1369	29754	78839
1370	29777	78818
1371	29798	78797
1372	29821	78776
1373	29841	78752
1374	29862	78728
1375	29883	78704
1376	29920	78723
1377	29940	78697
1378	29960	78671
1379	29982	78650
1380	30005	78630
1381	30025	78605
1382	30048	78586
1383	30070	78566
1384	30091	78541
1385	30116	78528
1386	30139	78510
1387	30162	78491
1388	30184	78470
1389	30201	78437
1390	30220	78406
1391	30240	78381
1392	30259	78352
1393	30282	78335
1394	30304	78313
1395	30325	78290
1396	30347	78268
1397	30367	78241
1398	30388	78218
1399	30411	78199
1400	30432	78176
1401	30454	78156
1402	30473	78128
1403	30495	78106
1404	30518	78089
1405	30540	78066
1406	30561	78044
1407	30582	78020
1408	30601	77992
1409	30623	77970
1410	30645	77949
1411	30666	77925
1412	30686	77899
1413	30706	77874
1414	30728	77852
1415	30750	77830
1416	30770	77806
1417	30790	77780
1418	30811	77756
1419	30830	77728
1420	30851	77704
1421	30879	77697
1422	30899	77671
1423	30918	77644
1424	30939	77621
1425	30962	77601
1426	30983	77578
1427	31003	77551
1428	31022	77523
1429	31041	77494
1430	31060	77467
1431	31080	77440
1432	31102	77419
1433	31123	77396
1434	31143	77370
1435	31164	77346
1436	31185	77324
1437	31205	77297
1438	31225	77272
1439	31246	77247
1440	31267	77224
1441	31288	77202
1442	31312	77184
1443	31334	77164
1444	31354	77139
1445	31374	77113
1446	31397	77094
1447	31417	77067
1448	31438	77045
1449	31460	77023
1450	31483	77005
1451	31504	76982
1452	31529	76968
1453	31552	76948
1454	31573	76926
1455	31594	76904
1456	31624	76900
1457	31646	76879
1458	31666	76854
1459	31685	76826
1460	31708	76808
1461	31729	76785
1462	31749	76759
1463	31769	76732
1464	31790	76710
1465	31818	76702
1466	31838	76677
1467	31858	76650
1468	31878	76626
1469	31898	76599
1470	31922	76583
1471	31943	76561
1472	31964	76537
1473	31986	76514
1474	32007	76492
1475	32029	76471
1476	32049	76445
1477	32070	76422
1478	32091	76399
1479	32124	76405
1480	32143	76376
1481	32166	76358
1482	32187	76333
1483	32206	76307
1484	32227	76281
1485	32249	76262
1486	32271	76240
1487	32291	76214
1488	32313	76194
1489	32336	76174
1490	32355	76146
1491	32376	76123
1492	32399	76104
1493	32427	76099
1494	32449	76076
1495	32476	76067
1496	32496	76042
1497	32519	76023
1498	32545	76011
1499	32564	75984
1500	32582	75954
1501	32602	75927
1502	32620	75897
1503	32638	75867
1504	32657	75839
1505	32675	75809
1506	32695	75782
1507	32716	75760
1508	32735	75732
1509	32754	75703
1510	32772	75673
1511	32791	75645
1512	32810	75618
1513	32829	75589
1514	32849	75564
1515	32867	75535
1516	32885	75504
1517	32907	75482
1518	32925	75453
1519	32945	75426
1520	32964	75400
1521	32984	75374
1522	33004	75348
1523	33023	75321
1524	33043	75294
1525	33061	75266
1526	33079	75235
1527	33099	75209
1528	33123	75194
1529	33144	75170
1530	33162	75141
1531	33184	75119
1532	33203	75093
1533	33225	75071
1534	33245	75046
1535	33267	75025
1536	33287	75000
1537	33307	74975
1538	33331	74957
1539	33352	74935
1540	33372	74909
1541	33394	74887
1542	33415	74865
1543	33438	74845
1544	33459	74822
1545	33480	74801
1546	33500	74774
1547	33524	74758
1548	33552	74751
1549	33574	74730
1550	33595	74706
1551	33616	74684
1552	33638	74662
1553	33657	74635
1554	33677	74610
1555	33698	74588
1556	33718	74561
1557	33739	74539
1558	33761	74518
1559	33783	74497
1560	33806	74478
1561	33826	74452
1562	33847	74429
1563	33867	74404
1564	33887	74380
1565	33906	74352
1566	33932	74339
1567	33952	74314
1568	33973	74291
1569	33993	74265
1570	34015	74244
1571	34036	74221
1572	34057	74198
1573	34078	74176
1574	34107	74169
1575	34131	74153
1576	34151	74127
1577	34170	74101
1578	34193	74081
1579	34213	74057
1580	34235	74036
1581	34255	74011
1582	34276	73987
1583	34297	73965
1584	34317	73939
1585	34341	73923
1586	34361	73896
1587	34380	73870
1588	34400	73846
1589	34423	73827
1590	34444	73803
1591	34468	73786
1592	34490	73766
1593	34511	73743
1594	34535	73725
1595	34556	73704
1596	34576	73678
1597	34605	73671
1598	34625	73647
1599	34648	73627
1600	34670	73606
1601	34691	73583
1602	34712	73561
1603	34733	73538
1604	34754	73514
1605	34774	73490
1606	34796	73467
1607	34825	73462
1608	34846	73439
1609	34866	73413
1610	34887	73391
1611	34916	73385
1612	34938	73364
1613	34958	73339
1614	34977	73311
1615	35000	73293
1616	35023	73274
1617	35043	73249
1618	35062	73222
1619	35083	73198
1620	35103	73174
1621	35126	73155
1622	35145	73128
1623	35166	73103
1624	35187	73082
1625	35208	73058
1626	35230	73038
1627	35253	73019
1628	35276	72999
1629	35296	72975
1630	35321	72960
1631	35343	72938
1632	35363	72914
1633	35391	72905
1634	35413	72885
1635	35436	72866
1636	35457	72842
1637	35476	72816
1638	35503	72805
1639	35524	72782
1640	35544	72757
1641	35564	72732
1642	35584	72705
1643	35602	72677
1644	35621	72651
1645	35639	72621
1646	35658	72595
1647	35679	72570
1648	35697	72542
1649	35716	72514
1650	35735	72488
1651	35756	72464
1652	35774	72437
1653	35794	72412
1654	35814	72386
1655	35833	72359
1656	35853	72333
1657	35874	72312
1658	35899	72297
1659	35919	72271
1660	35938	72244
1661	35957	72218
1662	35978	72195
